,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,price_category
635,Pups&Pets Hard Squeeze Green Squeak Ball Dog Toy Paw Design Piece Squeaky Ball Toy for Dog/Puppy. (Pack of 3- Color May Ve...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41OllOR88RL._AC_UL320_.jpg,https://www.amazon.in/Pups-Pets-Squeeze-Squeak-Squeaky/dp/B09RWTXQ2J/ref=sr_1_9492?qid=1679214770&s=pet-supplies&sr=1-9492,3.4,2,399.0,₹599,Premium
220,Pawsome Reversable Dual Color Beige & Black Ultra Soft Polyester Ethnic Desingner Bed For Dog & Cat (Export Quality)- Small,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61ZOr2Cx69L._AC_UL320_.jpg,https://www.amazon.in/Pawsome-Reversable-Ethnic-desingner-Quality/dp/B08THZW4LB/ref=sr_1_2213?qid=1679214666&s=pet-supplies&sr=1-2213,4.3,747,699.0,"₹1,499",Premium
593,"Paw Naturale Flake Off Healing Skin Massage Oil for Dogs 100ml. Shiny Coat + Helps cure Dog Hair Fall, Skin issues Dandruf...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/61Ik-tNTnuL._AC_UL320_.jpg,https://www.amazon.in/Paw-Naturale-Healing-Dandruff-Sarcoptic/dp/B0B5V6XP95/ref=sr_1_8538?qid=1679214756&s=pet-supplies&sr=1-8538,4.5,8,,₹329,
429,"Ksk Natural Wooden Bridge, Chewing,Hanging Toy, Parrot Nest Suitable For A Wide Variety Of Large And Small Parrots And Birds",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61-Q6GriC3L._AC_UL320_.jpg,https://www.amazon.in/Natural-Chewing-Hanging-Suitable-Variety/dp/B0725BWFPH/ref=sr_1_5926?qid=1679214718&s=pet-supplies&sr=1-5926,3.6,19,349.0,₹800,Premium
72,"Jainsons Pet Products® Bird Nest with Chewing Toys-Hanging Bird Cage Toys Suitable for Small Parakeets, Cockatiels, Conure...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71qSYGIZ-PL._AC_UL320_.jpg,https://www.amazon.in/Jainsons-Products-Toys-Hanging-Parakeets-Cockatiels/dp/B08P9DCCND/ref=sr_1_841?qid=1679214643&s=pet-supplies&sr=1-841,4.2,238,399.0,₹599,Premium
448,"Aakriti Glass Gem Stone, Flat Round Marbles Aquarium Pebbles for Vase Fillers, Table Scatter, Landscaping, Aquarium Fish T...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71GVV51mkaL._AC_UL320_.jpg,https://www.amazon.in/Aakriti-Aquarium-Landscaping-Decoration-Gemstone/dp/B07XX2RNLJ/ref=sr_1_6353?qid=1679214725&s=pet-supplies&sr=1-6353,4.1,56,299.0,₹699,Premium
181,Kapoor pets Aquarium Decoration Kit Colorful Artificial Plant Colorful Rainbow Gravel Pebble Stone Substrate for Fish Turt...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71WyaAeuFTS._AC_UL320_.jpg,https://www.amazon.in/Kapoor-pets-Decoration-Artificial-Substrate/dp/B0974MXQH2/ref=sr_1_1982?qid=1679214661&s=pet-supplies&sr=1-1982,3.4,42,289.0,₹299,Premium
131,Pawsitively Pet Care Himalaya Digyton Plus Syrup For Dogs & Cats - 100 ml (Pack Of 2),pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41JhEHPXylL._AC_UL320_.jpg,https://www.amazon.in/Pawsitively-Pet-Care-Himalaya-Digyton/dp/B077JT5DY2/ref=sr_1_972?qid=1679214647&s=pet-supplies&sr=1-972,4.4,366,419.0,₹420,Premium
231,"klench Safest Round Organic Bird nest Purely Handmade Sparrow/Small Birds, Material Type -Coir,Color -Brown,30 * 15",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/819qWDRVl5L._AC_UL320_.jpg,https://www.amazon.in/klench-Organic-Handmade-Sparrow-Material/dp/B0BVGCRSHB/ref=sr_1_2224?qid=1679214666&s=pet-supplies&sr=1-2224,5.0,13,249.0,₹699,Premium
277,Amijivdaya Medium Bird Water Feeder (1 Liter),pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51IPwidRjhL._AC_UL320_.jpg,https://www.amazon.in/Amijivdaya-Feeder-Water-Medium-Transparent/dp/B074W25MY9/ref=sr_1_2966?qid=1679214677&s=pet-supplies&sr=1-2966,3.8,235,391.0,"₹1,178",Premium
605,Dog Trust Pet Believe Biscuits Veg FLVR Happy Dog 1KG,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/712eZ-Hce5L._AC_UL320_.jpg,https://www.amazon.in/Dog-Trust-Believe-Biscuits-Happy/dp/B09PZ4RMM9/ref=sr_1_8718?qid=1679214760&s=pet-supplies&sr=1-8718,3.9,3,249.0,₹499,Premium
281,Barkhouse Chronicles Classic Cookies Treats for Adult Dogs | High Protein Biscuits | Rich with Fibers & Minerals (Assorte...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/715PALfZvcL._AC_UL320_.jpg,https://www.amazon.in/Classic-Cookies-Biscuits-Minerals-Assorted/dp/B09VP5F7NR/ref=sr_1_2970?qid=1679214677&s=pet-supplies&sr=1-2970,3.9,76,329.0,₹399,Premium
249,The Bon -Bon Chewing Calcium Raw Bones for Dogs and Puppies - Pack of 10__3inch,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41OdVxo2FJL._AC_UL320_.jpg,https://www.amazon.in/Bon-Chewing-Calcium-Bones-Puppies/dp/B09WKQ2TJY/ref=sr_1_2290?qid=1679214668&s=pet-supplies&sr=1-2290,4.0,28,197.0,₹599,High
81,"Foodie Puppies Natural Latex Rubber Squeaky Black & White Puppy (Kitty Toy) | Suitable for Puppy, X-Small to Small Dogs (...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51A+-V5HP3L._AC_UL320_.jpg,https://www.amazon.in/Foodie-Puppies-Blue-Football-Toy/dp/B0B6R8PQ3B/ref=sr_1_850?qid=1679214643&s=pet-supplies&sr=1-850,4.1,42,177.0,₹440,High
463,Myartbucket Wedding and Festive Dog Tuxedo Black Bandana with Bow | Pet Tuxedo Bandana (Small),pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/719i3yogkPL._AC_UL320_.jpg,https://www.amazon.in/Myartbucket-Wedding-Festive-Tuxedo-Bandana/dp/B09X6ZFV91/ref=sr_1_6848?qid=1679214732&s=pet-supplies&sr=1-6848,,,414.0,₹999,Premium
247,"Azoo Turtle Sticks 9 In 1 Formula Fish Food, 900 ml 300 g",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61RJmm7KKwL._AC_UL320_.jpg,https://www.amazon.in/Azoo-Turtle-Sticks-Formula-900Ml/dp/B01LXBJ407/ref=sr_1_2288?qid=1679214668&s=pet-supplies&sr=1-2288,4.3,58,650.0,₹800,Premium
362,"Stripzy Immunity Booster Probiotics Dogs Cats Pet, 15 Strips - Vet Approved Ashwagandha Brahmi Health Strips (Blue Berry)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51YG9xvJ5uL._AC_UL320_.jpg,https://www.amazon.in/Wiggles-Stripzy-Immunity-Booster-Probiotic/dp/B099F7JN85/ref=sr_1_4659?qid=1679214702&s=pet-supplies&sr=1-4659,4.2,45,,₹255,
598,RR Design Velvet Dog Bow Tie/Dog Bow-tie/Dog Gift with Collar or Neck Gear (Adjustable)-Medium-Blue (Royal Blue),pet supplies,All Pet Supplies,https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T1/images/I/41KhoZeidnL._AC_UL320_.jpg,https://www.amazon.in/RR-Design-Bow-tie-Adjustable-Medium-Blue/dp/B09BBWHLMK/ref=sr_1_8543?qid=1679214756&s=pet-supplies&sr=1-8543,5.0,2,699.0,"₹1,799",Premium
69,Heads Up For Tails Natural Anti Tick and Flea Powder for Dog & Cat - 100g,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51Nx99zQpwL._AC_UL320_.jpg,https://www.amazon.in/Heads-Up-Tails-Natural-Powder/dp/B09B6G14SH/ref=sr_1_574?qid=1679214638&s=pet-supplies&sr=1-574,3.4,46,189.0,₹199,High
10,"Drools Adult(+1 year) Dry Cat Food, Ocean Fish, 3 kg + 1.2 kg Free",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71Nhcr5zIfL._AC_UL320_.jpg,https://www.amazon.in/Drools-Adult-Food-Ocean-Fish/dp/B07MH3Z3WH/ref=sr_1_11?qid=1679214629&s=pet-supplies&sr=1-11,4.1,"5,180",764.0,₹899,Premium
340,Petsella Wowpets Live Aquarium Plants Seeds (Betta Bulbs) For Planted Tanks Easy To Grow Aponogeton Crispus (Pack Of 5) Seeds,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51YnAFvMgEL._AC_UL320_.jpg,https://www.amazon.in/Wowpets-Aquarium-Planted-Aponogeton-Crispus/dp/B08YK3RNPJ/ref=sr_1_3557?qid=1679214688&s=pet-supplies&sr=1-3557,3.5,119,180.0,₹299,High
63,HUDACRUSH Dog Bath Brush Body Scrubber Shampoo Dispenser Tick Remover for Shower Bathing and Shedding Soft Silicone Bristl...,pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/41uYn+xo-rL._AC_UL320_.jpg,https://www.amazon.in/HUDACRUSH-Scrubber-Dispenser-Shedding-Multicolor/dp/B0BSL8S5F5/ref=sr_1_568?qid=1679214638&s=pet-supplies&sr=1-568,5.0,3,129.0,₹499,High
341,"Qpets® Breathable Design Cat Bag Carrier Backpack for Hot Weather, Expandable Cat Dogs Cage, Cat Bag, Backpack Design Pet ...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/61j9u0Xh8oL._AC_UL320_.jpg,https://www.amazon.in/Breathable-Carrier-Backpack-Expandable-Expenable/dp/B0BCQ6SP4S/ref=sr_1_3558?qid=1679214688&s=pet-supplies&sr=1-3558,,,2599.0,"₹4,367",Premium
54,"24x7 eMall 4 Way Automatic Fish Feeder, Food Dispenser, 200ML Large Capacity Timer Plastic Feeder For Aquarium Fish Tank A...",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/51BnYxzbfBL._AC_UL320_.jpg,https://www.amazon.in/24x7-eMall-Automatic-Dispenser-Settings/dp/B09Y8T4QWR/ref=sr_1_559?qid=1679214638&s=pet-supplies&sr=1-559,4.2,60,1199.0,"₹3,999",Premium
532,"Matisse - Kitten - Cat Dry Food (Pack of 2, Each 400Gms)",pet supplies,All Pet Supplies,https://m.media-amazon.com/images/I/71DtygpAaHS._AC_UL320_.jpg,https://www.amazon.in/Matisse-Kitten-Food-Pack-400Gms/dp/B0983VMK8K/ref=sr_1_7253?qid=1679214739&s=pet-supplies&sr=1-7253,4.7,4,,₹700,
