,name,main_category,sub_category,image,link,ratings,no_of_ratings,discount_price,actual_price,price_category
1029,Himalaya Baby Lotion 400ml and Baby Cream 100ml,toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/21b-+1pweoL._AC_UL320_.jpg,https://www.amazon.in/Himalaya-Lotion-400ml-Cream-100ml/dp/B07BTLFF7H/ref=sr_1_7438?qid=1679220073&s=baby&sr=1-7438,4.1,71,365.0,₹450,Premium
168,"Baby Basket Mothercare All We Know Baby Oil, 300 ml",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61XBJ9PyoTL._AC_UL320_.jpg,https://www.amazon.in/Baby-basket-Mothercare-All-Know/dp/B07D69DDLH/ref=sr_1_1057?qid=1679219945&s=baby&sr=1-1057,4.3,30,279.0,₹399,Premium
1374,Little Fingers 4-in-1 Baby Grooming Kit/Nailcare kit for Newborn- Healthcare Daily Hygiene Set- Pack of 1 (Different Color...,toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/31eY4Knb8NL._AC_UL320_.jpg,https://www.amazon.in/Little-Fingers-Healthcare-Different-Available/dp/B08T9W3CWJ/ref=sr_1_9415?qid=1679220120&s=baby&sr=1-9415,3.4,8,229.0,₹499,Premium
988,Babies Bloom Pink Baby Girl Gift Bag/Baby Shower Party Favors (Set of 6),toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/51O-wwkdopL._AC_UL320_.jpg,https://www.amazon.in/Babies-Bloom-Cuddle-Time-Party-Favors/dp/B01LZPDCM9/ref=sr_1_7325?qid=1679220070&s=baby&sr=1-7325,,,499.0,₹999,Premium
453,"SOFTSPUN Microfiber Baby Hand & Face Wipes 30x30 Cms, 1 Piece Towel Set, 340 GSM, (Orange) Super Soft & Silky for Hand, Fa...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/81SB3BSr52L._AC_UL320_.jpg,https://www.amazon.in/Softspun-Microfiber-Baby-Towel-Wipes/dp/B01KCKYNT6/ref=sr_1_3166?qid=1679219988&s=baby&sr=1-3166,3.1,11,139.0,₹149,High
1157,Sathiyas Akash 100% Cotton Embroidered Baby Towels - Pack of 2 (Cream || Pink),toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/71JF5aE3lfL._AC_UL320_.jpg,https://www.amazon.in/Sathiyas-Akash-Cotton-Embroidered-Towels/dp/B01MZZYM1G/ref=sr_1_8478?qid=1679220094&s=baby&sr=1-8478,3.0,18,375.0,₹815,Premium
1331,"First Kick Baby Bath Towel New Born Pack of Soft Bath Towel Wrapper for Baby Boys and Baby Girls 100 cm x 80 cm, 0-36 Months",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61auQzHMS3L._AC_UL320_.jpg,https://www.amazon.in/First-Kick-Towel-Wrapper-Months/dp/B0B46N9T44/ref=sr_1_9348?qid=1679220116&s=baby&sr=1-9348,3.7,6,379.0,₹999,Premium
553,"TEC TAVAKKAL 3 year And Above Kids Toothbrush, Extra Soft Lovely Little Panda Toothbrush for Kids, BPA Free, Boys and Girl...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61WoxnWyojL._AC_UL320_.jpg,https://www.amazon.in/TEC-TAVAKKAL-Toothbrush-Lovely-Toddler/dp/B0BQRJZ9WR/ref=sr_1_4466?qid=1679220011&s=baby&sr=1-4466,4.6,4,244.0,"₹1,100",Premium
231,"Softsens Baby Nourishing Lotion with Milk Cream & Shea Butter (200ml x Pack of 3, Green)",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/I/61IJ6n2seuL._AC_UL320_.jpg,https://www.amazon.in/Softsens-Moisturising-Lotion-Butter-Vitamin/dp/B07G2PMKCP/ref=sr_1_1456?qid=1679219953&s=baby&sr=1-1456,4.3,429,247.0,₹480,Premium
1225,"Ash & Roh Nylon Headbands Chiffon Flower Soft Stretchy Hair Band Hair Accessories for Newborns, Infants, Toddlers and Baby...",toys & baby products,"Baby Bath, Skin & Grooming",https://m.media-amazon.com/images/W/IMAGERENDERING_521856-T2/images/I/61impTGTDRL._AC_UL320_.jpg,https://www.amazon.in/Ash-Roh%C2%AE-Headbands-Stretchy-Accessories/dp/B09BD252C5/ref=sr_1_8834?qid=1679220103&s=baby&sr=1-8834,3.2,21,852.05,"₹2,299",Premium
